역명,일자, 이용인원 , 승차인원 , 하차인원 
계양,2023-06-10,6062,2883,3179
귤현,2023-06-10,1646,733,913
박촌,2023-06-10,5865,3099,2766
임학,2023-06-10,11791,6059,5732
계산,2023-06-10,18269,9142,9127
경인교대입구,2023-06-10,9225,4571,4654
작전,2023-06-10,21179,10897,10282
갈산,2023-06-10,9597,4956,4641
부평구청,2023-06-10,10382,5062,5320
부평시장,2023-06-10,19203,9594,9609
부평,2023-06-10,13141,6520,6621
동수,2023-06-10,5744,2911,2833
부평삼거리,2023-06-10,3926,1971,1955
간석오거리,2023-06-10,16633,8722,7911
인천시청,2023-06-10,7798,4079,3719
예술회관,2023-06-10,18526,8639,9887
인천터미널,2023-06-10,27235,13371,13864
문학경기장,2023-06-10,2594,1274,1320
선학,2023-06-10,10468,5211,5257
신연수,2023-06-10,6332,3309,3023
원인재,2023-06-10,3924,2078,1846
동춘,2023-06-10,15347,7654,7693
동막,2023-06-10,6786,3663,3123
캠퍼스타운,2023-06-10,8841,4670,4171
테크노파크,2023-06-10,18135,8907,9228
지식정보단지,2023-06-10,4290,2184,2106
인천대입구,2023-06-10,10658,5270,5388
센트럴파크(재외동포청),2023-06-10,7503,3684,3819
국제업무지구,2023-06-10,1685,902,783
송도달빛축제공원,2023-06-10,7480,3775,3705
계양,2023-06-11,4584,2075,2509
귤현,2023-06-11,1134,541,593
박촌,2023-06-11,4197,2202,1995
임학,2023-06-11,8226,4176,4050
계산,2023-06-11,13613,6741,6872
경인교대입구,2023-06-11,7108,3598,3510
작전,2023-06-11,14056,7109,6947
갈산,2023-06-11,6455,3321,3134
부평구청,2023-06-11,7268,3510,3758
부평시장,2023-06-11,14188,7086,7102
부평,2023-06-11,8573,4496,4077
동수,2023-06-11,4057,2067,1990
부평삼거리,2023-06-11,3257,1631,1626
간석오거리,2023-06-11,11965,6194,5771
인천시청,2023-06-11,5482,2823,2659
예술회관,2023-06-11,11882,5757,6125
인천터미널,2023-06-11,22254,11092,11162
문학경기장,2023-06-11,1507,737,770
선학,2023-06-11,8051,4032,4019
신연수,2023-06-11,4421,2241,2180
원인재,2023-06-11,2578,1376,1202
동춘,2023-06-11,8929,4411,4518
동막,2023-06-11,4817,2501,2316
캠퍼스타운,2023-06-11,5988,2930,3058
테크노파크,2023-06-11,14144,7026,7118
지식정보단지,2023-06-11,2858,1395,1463
인천대입구,2023-06-11,7307,3499,3808
센트럴파크(재외동포청),2023-06-11,4904,2416,2488
국제업무지구,2023-06-11,650,343,307
송도달빛축제공원,2023-06-11,5770,2882,2888
계양,2023-06-12,7887,3999,3888
귤현,2023-06-12,2623,1036,1587
박촌,2023-06-12,7924,4131,3793
임학,2023-06-12,16355,8274,8081
계산,2023-06-12,22374,11369,11005
경인교대입구,2023-06-12,11616,5797,5819
작전,2023-06-12,28589,14561,14028
갈산,2023-06-12,19126,9660,9466
부평구청,2023-06-12,14275,7051,7224
부평시장,2023-06-12,26913,13462,13451
부평,2023-06-12,12474,6197,6277
동수,2023-06-12,8499,4380,4119
부평삼거리,2023-06-12,5208,2641,2567
간석오거리,2023-06-12,22034,11608,10426
인천시청,2023-06-12,10773,5392,5381
예술회관,2023-06-12,23527,11574,11953
인천터미널,2023-06-12,24106,11674,12432
문학경기장,2023-06-12,3507,1757,1750
선학,2023-06-12,12239,6164,6075
신연수,2023-06-12,11467,5781,5686
원인재,2023-06-12,5861,3178,2683
동춘,2023-06-12,20189,9764,10425
동막,2023-06-12,10918,5821,5097
캠퍼스타운,2023-06-12,12284,6145,6139
테크노파크,2023-06-12,20985,10591,10394
지식정보단지,2023-06-12,10719,5233,5486
인천대입구,2023-06-12,17629,8793,8836
센트럴파크(재외동포청),2023-06-12,7102,3557,3545
국제업무지구,2023-06-12,3293,1678,1615
송도달빛축제공원,2023-06-12,10078,5027,5051
계양,2023-06-13,8138,4178,3960
귤현,2023-06-13,2689,1023,1666
박촌,2023-06-13,8223,4305,3918
임학,2023-06-13,16714,8466,8248
계산,2023-06-13,22367,11315,11052
경인교대입구,2023-06-13,11875,6011,5864
작전,2023-06-13,28786,14636,14150
갈산,2023-06-13,19611,9923,9688
부평구청,2023-06-13,14488,7163,7325
부평시장,2023-06-13,27561,13833,13728
부평,2023-06-13,12389,6113,6276
동수,2023-06-13,8796,4472,4324
부평삼거리,2023-06-13,5685,2850,2835
간석오거리,2023-06-13,22370,11638,10732
인천시청,2023-06-13,11288,5728,5560
예술회관,2023-06-13,24444,11992,12452
인천터미널,2023-06-13,26373,12880,13493
문학경기장,2023-06-13,6680,3191,3489
선학,2023-06-13,12571,6335,6236
신연수,2023-06-13,12028,6084,5944
원인재,2023-06-13,6258,3335,2923
